id,Status,Borrow Date,Admin id,Book id,User id
81,0,2023-05-01 18:20:18,1,21,59
82,1,2023-02-25 14:12:47,1,84,67
83,0,2023-02-10 05:59:58,4,40,4
84,0,2022-11-26 08:35:47,4,85,14
85,1,2023-04-28 03:31:28,4,40,43
86,0,2022-08-30 23:56:57,4,86,6
87,0,2023-01-15 02:36:31,3,100,55
88,1,2023-01-21 11:43:08,2,59,69
89,1,2022-10-11 01:04:42,2,55,73
90,1,2023-01-20 15:38:20,3,13,7
91,1,2022-08-30 22:04:13,4,90,28
92,1,2022-09-07 16:20:03,2,70,41
93,0,2023-02-20 04:32:32,1,64,72
94,0,2022-08-20 10:20:51,2,62,74
95,1,2022-10-02 06:49:54,2,81,37
96,0,2022-08-18 03:41:11,2,49,69
97,1,2023-02-23 19:05:40,2,29,82
98,0,2023-04-27 12:34:17,4,42,78
99,0,2022-08-01 15:16:36,3,34,13
100,0,2022-06-26 11:19:23,2,82,60
101,1,2023-02-25 04:56:23,1,89,80
102,0,2022-06-22 00:25:03,4,22,77
103,0,2023-01-24 23:18:03,2,89,22
104,0,2022-12-29 06:35:02,3,14,73
105,1,2022-12-25 20:50:28,4,54,72
106,0,2023-02-12 13:12:14,4,90,1
107,1,2022-06-06 00:08:08,1,12,44
108,1,2023-02-06 11:31:20,3,4,42
109,0,2023-03-14 11:02:02,4,92,22
110,0,2023-03-07 13:02:15,1,53,20
111,1,2023-03-03 13:40:20,3,15,52
112,0,2022-06-07 21:37:04,4,87,25
113,0,2022-11-09 17:41:10,2,10,44
114,0,2022-11-07 05:02:44,3,93,48
115,0,2022-07-27 02:59:47,3,11,38
116,1,2022-06-25 12:30:07,1,10,26
117,0,2022-12-11 12:12:48,2,4,74
118,0,2022-08-19 20:00:18,3,34,7
119,0,2022-09-26 02:13:21,2,30,32
120,0,2022-07-24 15:04:21,3,33,1
121,1,2022-06-27 22:15:30,1,54,55
122,0,2022-12-03 20:45:45,1,50,27
123,0,2023-02-19 21:29:26,1,81,18
124,1,2022-09-03 22:56:31,3,92,23
125,0,2023-03-14 16:23:21,4,74,4
126,0,2022-09-08 11:49:57,1,85,30
127,1,2022-11-08 03:48:00,1,82,9
128,0,2022-12-17 07:15:03,4,72,38
129,0,2023-04-09 05:11:01,1,17,49
130,0,2022-11-27 05:29:11,3,55,5
131,1,2022-07-09 16:01:08,4,12,42
132,1,2023-03-23 11:16:20,2,26,46
133,0,2023-02-19 06:44:56,2,58,57
134,1,2023-03-31 19:11:23,2,6,16
135,1,2022-07-18 12:53:29,1,63,49
136,1,2022-06-19 16:37:32,4,63,66
137,0,2023-01-20 00:17:10,2,14,82
138,0,2022-07-04 08:58:32,2,38,75
139,1,2022-08-09 11:26:14,3,89,22
140,0,2022-12-23 14:42:04,3,77,20
141,1,2023-03-10 06:21:18,3,73,50
142,0,2023-01-27 09:43:14,4,18,21
143,0,2023-01-11 02:46:19,3,14,8
144,0,2023-02-04 12:20:53,1,37,40
145,1,2022-08-21 18:58:46,2,83,27
146,0,2022-08-10 13:06:20,1,72,63
147,0,2023-04-07 13:24:35,3,35,51
148,0,2022-09-12 06:53:19,4,85,3
149,0,2023-04-03 11:42:29,1,56,18
150,1,2022-06-30 12:47:30,4,10,33
